id,place_name,county,country,grid_reference,easting,northing,latitude,longitude,postcode_area,type
1546,Aysgarth,North Yorkshire,England,SE0088,400500,488500,54.29212,-1.99382,DL8 3,Other
1547,Ayshford,Devon,England,ST0415,304500,115500,50.93102,-3.36033,EX16 7,Other
1548,Ayside,Cumbria,England,SD3983,339500,483500,54.24360,-2.92988,LA11 6,Other
1549,Ayston,Rutland,England,SK8601,486500,301500,52.60441,-0.72417,LE15 9,Other
1550,Aythorpe Roding,Essex,England,TL5914,559500,214500,51.80639,0.31207,CM6 1,Other
1551,Ayton,Scottish Borders,Scotland,NT9261,392500,661500,55.84665,-2.12135,TD14 5,Other
1552,Ayton,Tyne and Wear,England,NZ2855,428500,555500,54.89343,-1.55719,NE38 0,Other
1553,Ayton Castle,Scottish Borders,Scotland,NT9261,392500,661500,55.84665,-2.12135,TD14 5,Other
1554,Azerley,North Yorkshire,England,SE2574,425500,474500,54.16567,-1.61094,HG4 3,Other
1555,Àird a' Mhachair,Na h-Eileanan an Iar,Scotland,NF7445,74500,845500,57.38307,-7.41884,HS8 5,Other
1556,Àird a' Mhulaidh,Na h-Eileanan an Iar,Scotland,NB1810,118500,910500,57.99426,-6.76556,HS3 3,Other
1557,Àird Adhanais,Na h-Eileanan an Iar,Scotland,NG2294,122500,894500,57.85354,-6.67942,HS4 3,Other
1558,Àird Asaig,Na h-Eileanan an Iar,Scotland,NB1302,113500,902500,57.91947,-6.84015,HS3 3,Other
1559,Àird Choinnich,Na h-Eileanan an Iar,Scotland,NF7546,75500,846500,57.39272,-7.40360,HS8 5,Other
1560,Àird Dhail,Na h-Eileanan an Iar,Scotland,NB4761,147500,961500,58.46843,-6.33187,HS2 0,Other
1561,Àird Mhidhinis,Na h-Eileanan an Iar,Scotland,NF7103,71500,803500,57.00533,-7.41312,HS9 5,Other
1562,Àird Mhighe,Na h-Eileanan an Iar,Scotland,NG0887,108500,887500,57.78200,-6.90591,HS3 3,Other
1563,Àird Mhìghe,Na h-Eileanan an Iar,Scotland,NG1292,112500,892500,57.82933,-6.84490,HS3 3,Other
1564,Àird Mhòr,Na h-Eileanan an Iar,Scotland,NF7103,71500,803500,57.00533,-7.41312,HS9 5,Other
1565,Àird Mhòr,Na h-Eileanan an Iar,Scotland,NF7945,79500,845500,57.38661,-7.33604,HS8 5,Other
1566,Àird na Monadh,Na h-Eileanan an Iar,Scotland,NF7745,77500,845500,57.38520,-7.36916,HS8 5,Other
1567,Àird nan Strùban,Na h-Eileanan an Iar,Scotland,NF8457,84500,857500,57.49744,-7.26867,HS6 5,Other
1568,Àird Ruairidh,Na h-Eileanan an Iar,Scotland,NF7421,74500,821500,57.16844,-7.38731,HS8 5,Other
1569,Àird Shleibhe,Na h-Eileanan an Iar,Scotland,NG1189,111500,889500,57.80184,-6.85805,HS3 3,Other
1570,Àird Thunga,Na h-Eileanan an Iar,Scotland,NB4636,146500,936500,58.24397,-6.32147,HS2 0,Other
1571,Àird Uig,Na h-Eileanan an Iar,Scotland,NB0537,105500,937500,58.22742,-7.01854,HS2 9,Other
1572,Babbacombe,Devon,England,SX9265,292500,65500,50.47943,-3.51646,TQ1 3,Other
1573,Babbington,Nottinghamshire,England,SK4943,449500,343500,52.98656,-1.26410,NG16 2,Other
1574,Babbinswood,Shropshire,England,SJ3330,333500,330500,52.86785,-2.98932,SY11 4,Other
1575,Babbs Green,Hertfordshire,England,TL3916,539500,216500,51.82970,0.02299,SG12 7,Other
1576,Babcary,Somerset,England,ST5628,356500,128500,51.05419,-2.62201,TA11 7,Other
1577,Babel,Carmarthenshire,Wales,SN8335,283500,235500,52.00567,-3.69864,SA20 0,Other
1578,Babel Green,Suffolk,England,TL7348,573500,248500,52.10761,0.53208,CO10 8,Other
1579,Babell,Flintshire,Wales,SJ1573,315500,373500,53.25176,-3.26795,CH8 8,Other
1580,Babeny,Devon,England,SX6775,267500,75500,50.56419,-3.87218,TQ13 7,Other
1581,Babingley,Norfolk,England,TF6726,567500,326500,52.81003,0.48369,PE31 6,Other
1582,Babraham,Cambridgeshire,England,TL5150,551500,250500,52.13204,0.21200,CB22 3,Other
1583,Babworth,Nottinghamshire,England,SK6880,468500,380500,53.31701,-0.97322,DN22 8,Other
1584,Bac,Na h-Eileanan an Iar,Scotland,NB4840,148500,940500,58.28094,-6.29184,HS2 0,Other
1585,Bach-y-gwreiddyn,Swansea,Wales,SN6000,260500,200500,51.68588,-4.01937,SA4 9,Other
1586,Bachau,Isle of Anglesey,Wales,SH4383,243500,383500,53.32522,-4.35125,LL71 8,Other
1587,Bache,Shropshire,England,SO4681,346500,281500,52.42885,-2.78826,SY7 9,Other
1588,Bache Mill,Shropshire,England,SO5086,350500,286500,52.47417,-2.73018,SY7 9,Other
1589,Bacheldre,Powys,Wales,SO2492,324500,292500,52.52512,-3.11426,SY15 6,Other
1590,Bachelor's Bump,East Sussex,England,TQ8412,584500,112500,50.88253,0.62147,TN35 4,Other
1591,Back o'th' Brook,Staffordshire,England,SK0851,408500,351500,53.06068,-1.87462,ST10 3,Other
1592,Back Rogerton,East Ayrshire,Scotland,NS5522,255500,622500,55.47491,-4.28771,KA18 2,Other
1593,Back Street,Suffolk,England,TL7458,574500,258500,52.19711,0.55180,CB8 8,Other
1594,Backaland,Orkney Islands,Scotland,HY5630,356500,1030500,59.15902,-2.76239,KW17 2,Other
1595,Backbarrow,Cumbria,England,SD3584,335500,484500,54.25209,-2.99147,LA12 8,Other
1596,Backbower,Greater Manchester,England,SJ9593,395500,393500,53.43826,-2.06921,SK14 5,Other
1597,Backburn,Aberdeenshire,Scotland,NJ5334,353500,834500,57.39851,-2.77538,AB54 4,Other
1598,Backe,Carmarthenshire,Wales,SN2615,226500,215500,51.81114,-4.51823,SA33 4,Other
1599,Backford,Cheshire,England,SJ3971,339500,371500,53.23707,-2.90792,CH1 6,Other
1600,Backford Cross,Cheshire,England,SJ3873,338500,373500,53.25493,-2.92328,CH66 2,Other
1601,Backhill,Aberdeenshire,Scotland,NJ7839,378500,839500,57.44530,-2.35985,AB53 8,Other
1602,Backhill of Clackriach,Aberdeenshire,Scotland,NJ9246,392500,846500,57.50863,-2.12682,AB42 5,Other
1603,Backhill of Fortrie,Aberdeenshire,Scotland,NJ9640,396500,840500,57.45478,-2.05998,AB41 8,Other
1604,Backies,Highland,Scotland,NC8302,283500,902500,57.99640,-3.97252,KW10 6,Other
1605,Backlands,Moray,Scotland,NJ1469,314500,869500,57.70714,-3.43647,IV30 5,Other
1606,Backwell,Somerset,England,ST4868,348500,168500,51.41317,-2.74190,BS48 3,Other
1607,Backwell Common,Somerset,England,ST4869,348500,169500,51.42216,-2.74205,BS48 3,Other
1608,Backwell Green,Somerset,England,ST4969,349500,169500,51.42225,-2.72767,BS48 3,Other
1609,Backworth,Tyne and Wear,England,NZ3072,430500,572500,55.04607,-1.52420,NE27 0,Other
1610,Bacon End,Essex,England,TL6018,560500,218500,51.84204,0.32841,CM6 1,Other
1611,Bacon's End,West Midlands,England,SP1787,417500,287500,52.48514,-1.74373,B37 5,Other
1612,Baconend Green,Essex,England,TL6019,560500,219500,51.85102,0.32888,CM6 1,Other
1613,Baconsthorpe,Norfolk,England,TG1237,612500,337500,52.89293,1.15751,NR25 6,Other
1614,Bacton,Herefordshire,England,SO3632,336500,232500,51.98731,-2.92611,HR2 0,Other
1615,Bacton,Norfolk,England,TG3433,634500,333500,52.84790,1.48105,NR12 0,Other
1616,Bacton,Suffolk,England,TM0567,605500,267500,52.26724,1.01022,IP14 4,Other
1617,Bacton Green,Norfolk,England,TG3434,634500,334500,52.85688,1.48177,NR12 0,Other
1618,Bacton Green,Suffolk,England,TM0365,603500,265500,52.25003,0.97975,IP14 4,Other
1619,Bacup,Lancashire,England,SD8622,386500,422500,53.69876,-2.20595,OL13 8,Town
1620,Badachonacher,Highland,Scotland,NH6973,269500,873500,57.73222,-4.19327,IV18 0,Other
1621,Badbury,Wiltshire,England,SU1980,419500,180500,51.52308,-1.72033,SN4 0,Other
1622,Badbury Wick,Wiltshire,England,SU1881,418500,181500,51.53211,-1.73469,SN4 0,Other
1623,Badby,Northamptonshire,England,SP5658,456500,258500,52.22182,-1.17433,NN11 3,Other
1624,Badcall,Highland,Scotland,NC2455,224500,955500,58.45239,-5.00934,IV27 4,Other
1625,Badcaul,Highland,Scotland,NH0291,202500,891500,57.86917,-5.33153,IV23 2,Other
1626,Baddeley Edge,Staffordshire,England,SJ9150,391500,350500,53.05169,-2.12826,ST2 7,Other
1627,Baddeley Green,Staffordshire,England,SJ9051,390500,351500,53.06066,-2.14320,ST2 7,Other
1628,Baddesley Clinton,Warwickshire,England,SP2072,420500,272500,52.35019,-1.70046,B93 0,Other
1629,Baddesley Ensor,Warwickshire,England,SP2798,427500,298500,52.58362,-1.59556,CV9 2,Other
1630,Baddidarach,Highland,Scotland,NC0822,208500,922500,58.14977,-5.25573,IV27 4,Other
1631,Baddow Park,Essex,England,TL7202,572500,202500,51.69474,0.49450,CM2 7,Other
1632,Badenscallie,Highland,Scotland,NC0306,203500,906500,58.00411,-5.32714,IV26 2,Other
1633,Badenscoth,Aberdeenshire,Scotland,NJ6938,369500,838500,57.43580,-2.50967,AB51 8,Other
1634,Badentoy Park,Aberdeenshire,Scotland,NO9097,390500,797500,57.06844,-2.15830,AB12 4,Other
1635,Badersfield,Norfolk,England,TG2523,625500,323500,52.76200,1.34076,NR10 5,Other
1636,Badgall,Cornwall,England,SX2386,223500,86500,50.65137,-4.49811,PL15 8,Other
1637,Badgeney,Cambridgeshire,England,TL4296,542500,296500,52.54770,0.10010,PE15 9,Other
1638,Badger,Shropshire,England,SO7699,376500,299500,52.59278,-2.34834,WV6 7,Other
1639,Badger Street,Somerset,England,ST2619,326500,119500,50.97021,-3.04815,TA3 5,Other
1640,Badger's Hill,Worcestershire,England,SP0048,400500,248500,52.13480,-1.99411,WR10 2,Other
1641,Badgers Mount,Kent,England,TQ4962,549500,162500,51.34193,0.14503,TN14 7,Other
1642,Badgeworth,Gloucestershire,England,SO9019,390500,219500,51.87399,-2.13940,GL51 4,Other
1643,Badgworth,Somerset,England,ST3952,339500,152500,51.26843,-2.86858,BS26 2,Other
1644,Badharlick,Cornwall,England,SX2686,226500,86500,50.65228,-4.45572,PL15 8,Other
1645,Badicaul,Highland,Scotland,NG7529,175500,829500,57.30071,-5.72833,IV40 8,Other
1646,Badlesmere,Kent,England,TR0053,600500,153500,51.24542,0.87134,ME13 0,Other
1647,Badluarach,Highland,Scotland,NG9994,199500,894500,57.89473,-5.38454,IV23 2,Other
1648,Badminton,Gloucestershire,England,ST8082,380500,182500,51.54106,-2.28257,GL9 1,Other
1649,Badnaban,Highland,Scotland,NC0720,207500,920500,58.13140,-5.27104,IV27 4,Other
1650,Badnagie,Highland,Scotland,ND1531,315500,931500,58.26402,-3.44189,KW6 6,Other
1651,Badninish,Highland,Scotland,NH7694,276500,894500,57.92270,-4.08668,IV25 3,Other
1652,Badrallach,Highland,Scotland,NH0691,206500,891500,57.87092,-5.26422,IV23 2,Other
1653,Badsey,Worcestershire,England,SP0743,407500,243500,52.08980,-1.89195,WR11 7,Other
1654,Badshalloch,West Dunbartonshire,Scotland,NS4587,245500,687500,56.05534,-4.48259,G83 8,Other
1655,Badshot Lea,Surrey,England,SU8648,486500,148500,51.22914,-0.76256,GU9 9,Other
1656,Badsworth,West Yorkshire,England,SE4614,446500,414500,53.62498,-1.29841,WF9 1,Other
1657,Badwell Ash,Suffolk,England,TL9969,599500,269500,52.28741,0.92360,IP31 3,Other
1658,Badwell Green,Suffolk,England,TM0169,601500,269500,52.28668,0.95288,IP31 3,Other
1659,Badworthy,Devon,England,SX6861,268500,61500,50.43858,-3.85313,TQ10 9,Other
1660,Baffins,Hampshire,England,SU6601,466500,101500,50.80925,-1.05755,PO3 6,Other
1661,Bag Enderby,Lincolnshire,England,TF3472,534500,372500,53.23251,0.01360,PE23 4,Other
1662,Bagber,Dorset,England,ST7513,375500,113500,50.92043,-2.34992,DT10 2,Other
1663,Bagby,North Yorkshire,England,SE4680,446500,480500,54.21813,-1.28839,YO7 2,Other
1664,Bagby Grange,North Yorkshire,England,SE4580,445500,480500,54.21821,-1.30373,YO7 2,Other
1665,Bagendon,Gloucestershire,England,SP0106,401500,206500,51.75719,-1.97967,GL7 7,Other
1666,Bagginswood,Shropshire,England,SO6881,368500,281500,52.43057,-2.46472,DY14 8,Other
1667,Baggrow,Cumbria,England,NY1741,317500,541500,54.76163,-3.28363,CA7 3,Other
1668,Bagham,Kent,England,TR0753,607500,153500,51.24292,0.97149,CT4 8,Other
1669,Baghasdal,Na h-Eileanan an Iar,Scotland,NF7417,74500,817500,57.13267,-7.38209,HS8 5,Other
1670,Bagillt,Flintshire,Wales,SJ2275,322500,375500,53.27080,-3.16355,CH6 6,Other
1671,Baginton,Warwickshire,England,SP3474,434500,274500,52.36747,-1.49473,CV8 3,Other
1672,Baglan,Neath Port Talbot,Wales,SS7592,275500,192500,51.61751,-3.79966,SA12 8,Other
1673,Bagley,West Yorkshire,England,SE2235,422500,435500,53.81530,-1.65975,LS13 1,Other
1674,Bagley,Shropshire,England,SJ4027,340500,327500,52.84171,-2.88480,SY12 9,Other
1675,Bagley,Somerset,England,ST4545,345500,145500,51.20610,-2.78151,BS28 4,Other
1676,Bagley Green,Somerset,England,ST1219,312500,119500,50.96825,-3.24749,TA21 9,Other
1677,Bagley Marsh,Shropshire,England,SJ3928,339500,328500,52.85058,-2.89983,SY12 9,Other
1678,Bagmore,Hampshire,England,SU6644,466500,144500,51.19586,-1.04968,RG25 2,Other
1679,Bagnall,Staffordshire,England,SJ9250,392500,350500,53.05170,-2.11334,ST9 9,Other
1680,Bagnor,Berkshire,England,SU4569,445500,169500,51.42269,-1.34701,RG20 8,Other
1681,Bagpath,Gloucestershire,England,SO8502,385500,202500,51.72103,-2.21131,GL5 5,Other
1682,Bagpath,Gloucestershire,England,ST8094,380500,194500,51.64895,-2.28324,GL8 8,Other
1683,Bagshaw,Derbyshire,England,SK0781,407500,381500,53.33036,-1.88885,SK23 0,Other
1684,Bagshot,Wiltshire,England,SU3165,431500,165500,51.38767,-1.54871,RG17 0,Other
1685,Bagshot,Surrey,England,SU9163,491500,163500,51.36321,-0.68713,GU19 5,Other
1686,Bagshot Heath,Surrey,England,SU9161,491500,161500,51.34523,-0.68764,GU18 5,Other
1687,Bagslate Moor,Greater Manchester,England,SD8613,386500,413500,53.61787,-2.20555,OL11 5,Other
1688,Bagstone,Gloucestershire,England,ST6887,368500,187500,51.58547,-2.45604,GL12 8,Other
1689,Bagthorpe,Nottinghamshire,England,SK4751,447500,351500,53.05865,-1.29272,NG16 5,Other
1690,Bagthorpe,Norfolk,England,TF7932,579500,332500,52.86005,0.66482,PE31 6,Other
1691,Baguley,Greater Manchester,England,SJ8189,381500,389500,53.40199,-2.27971,M23 1,Other
1692,Bagworth,Leicestershire,England,SK4408,444500,308500,52.67239,-1.34334,LE67 1,Other
1693,Bagwyllydiart,Herefordshire,England,SO4426,344500,226500,51.93423,-2.80865,HR2 8,Other
1694,Bail Àrd Bhuirgh,Na h-Eileanan an Iar,Scotland,NB4156,141500,956500,58.42015,-6.42878,HS2 0,Other
1695,Bailanloan,Perth and Kinross,Scotland,NN8666,286500,766500,56.77620,-3.85894,PH18 5,Other
1696,Bailbrook,Somerset,England,ST7667,376500,167500,51.40603,-2.33924,BA1 8,Other
1697,Baildon,West Yorkshire,England,SE1539,415500,439500,53.85151,-1.76587,BD17 6,Town
1698,Baildon Green,West Yorkshire,England,SE1438,414500,438500,53.84255,-1.78111,BD17 5,Other
1699,Baile a' Mhanaich,Na h-Eileanan an Iar,Scotland,NF7755,77500,855500,57.47463,-7.38231,HS7 5,Other
1700,Baile Ailein,Na h-Eileanan an Iar,Scotland,NB2920,129500,920500,58.09061,-6.59159,HS2 9,Other
1701,Baile an Truiseil,Na h-Eileanan an Iar,Scotland,NB3753,137500,953500,58.39091,-6.49362,HS2 0,Other
1702,Baile Boidheach,Argyll and Bute,Scotland,NR7473,174500,673500,55.90163,-5.60885,PA31 8,Other
1703,Baile Gharbhaidh,Na h-Eileanan an Iar,Scotland,NF7646,76500,846500,57.39344,-7.38704,HS8 5,Other
1704,Baile Glas,Na h-Eileanan an Iar,Scotland,NF8457,84500,857500,57.49744,-7.26867,HS6 5,Other
1705,Baile Iochdrach,Na h-Eileanan an Iar,Scotland,NF8159,81500,859500,57.51323,-7.32112,HS6 5,Other
1706,Baile Mhàrtainn,Na h-Eileanan an Iar,Scotland,NF7273,72500,873500,57.63200,-7.48953,HS6 5,Other
1707,Baile Mòr,Argyll and Bute,Scotland,NM2824,128500,724500,56.33478,-6.39437,PA76 6,Other
1708,Baile na Creige,Na h-Eileanan an Iar,Scotland,NF6601,66500,801500,56.98387,-7.49242,HS9 5,Other
1709,Baile nan Cailleach,Na h-Eileanan an Iar,Scotland,NF7753,77500,853500,57.45675,-7.37967,HS7 5,Other
1710,Bailetonach,Highland,Scotland,NM6373,163500,773500,56.79277,-5.87433,PH36 4,Other
1711,Bailey Green,Hampshire,England,SU6627,466500,127500,51.04301,-1.05281,GU34 3,Other
1712,Bailiff Bridge,West Yorkshire,England,SE1424,414500,424500,53.71672,-1.78177,HD6 2,Other
1713,Baillieston,Glasgow City,Scotland,NS6763,267500,663500,55.84645,-4.11780,G69 7,Other
1714,Bailrigg,Lancashire,England,SD4858,348500,458500,54.01992,-2.78752,LA1 4,Other
1715,Bainbridge,North Yorkshire,England,SD9390,393500,490500,54.31005,-2.10141,DL8 3,Other
1716,Bainsford,Falkirk,Scotland,NS8882,288500,682500,56.02239,-3.79045,FK2 8,Other
1717,Bainshole,Aberdeenshire,Scotland,NJ6035,360500,835500,57.40816,-2.65908,AB54 6,Other
1718,Bainton,East Riding of Yorkshire,England,SE9652,496500,452500,53.95959,-0.53074,YO25 9,Other
1719,Bainton,Oxfordshire,England,SP5826,458500,226500,51.93394,-1.15054,OX27 8,Other
1720,Bainton,Cambridgeshire,England,TF0906,509500,306500,52.64520,-0.38302,PE9 3,Other
1721,Baintown,Fife,Scotland,NO3503,335500,703500,56.21968,-3.04168,KY8 5,Other
1722,Bairnkine,Scottish Borders,Scotland,NT6515,365500,615500,55.43217,-2.54674,TD8 6,Other
1723,Baker Street,Essex,England,TQ6381,563500,181500,51.50878,0.35462,RM16 3,Other
1724,Baker's Cross,Kent,England,TQ7835,578500,135500,51.09103,0.54755,TN17 3,Other
1725,Baker's Hill,Gloucestershire,England,SO5811,358500,211500,51.80059,-2.60323,GL16 7,Other
1726,Baker's Wood,Buckinghamshire,England,TQ0287,502500,187500,51.57706,-0.52223,UB9 4,Other
1727,Bakers End,Hertfordshire,England,TL3916,539500,216500,51.82970,0.02299,SG12 7,Other
1728,Bakesdown,Cornwall,England,SS2400,224500,100500,50.77746,-4.49064,EX23 0,Other
1729,Bakestone Moor,Derbyshire,England,SK5276,452500,376500,53.28288,-1.21403,S80 4,Other
1730,Bakewell,Derbyshire,England,SK2168,421500,368500,53.21313,-1.67951,DE45 1,Town
1731,Bala/Y Bala,Gwynedd,Wales,SH9236,292500,336500,52.91513,-3.60016,LL23 7,Town
1732,Balance Hill,Staffordshire,England,SK0832,408500,332500,52.88989,-1.87511,ST14 8,Other
1733,Balavil,Highland,Scotland,NH7902,279500,802500,57.09764,-3.99056,PH21 1,Other
1734,Balbeg,Highland,Scotland,NH4531,245500,831500,57.34773,-4.56922,IV63 6,Other
1735,Balbeggie,Perth and Kinross,Scotland,NO1629,316500,729500,56.45024,-3.35623,PH2 6,Other
1736,Balblair,Highland,Scotland,NH5045,250500,845500,57.47503,-4.49475,IV4 7,Other
1737,Balblair,Highland,Scotland,NH7066,270500,866500,57.66968,-4.17273,IV7 8,Other
1738,Balblair,Aberdeenshire,Scotland,NJ7006,370500,806500,57.14843,-2.48918,AB51 7,Other
1739,Balbuthie,Fife,Scotland,NO5002,350500,702500,56.21249,-2.79964,KY9 1,Other
1740,Balby,South Yorkshire,England,SE5501,455500,401500,53.50727,-1.16465,DN4 0,Other
1741,Balcathie,Angus,Scotland,NO6039,360500,739500,56.54582,-2.64401,DD11 2,Other
1742,Balchladich,Highland,Scotland,NC0330,203500,930500,58.21931,-5.34727,IV27 4,Other
1743,Balchraggan,Highland,Scotland,NH5343,253500,843500,57.45806,-4.44358,IV5 7,Other
1744,Balchraggan,Highland,Scotland,NH5634,256500,834500,57.37825,-4.38835,IV3 8,Other
1745,Balchrick,Highland,Scotland,NC1959,219500,959500,58.48623,-5.09805,IV27 4,Other
1746,Balcombe,West Sussex,England,TQ3130,531500,130500,51.05879,-0.12496,RH17 6,Other
1747,Balcombe Lane,West Sussex,England,TQ3132,531500,132500,51.07677,-0.12423,RH17 6,Other
1748,Balcurvie,Fife,Scotland,NO3400,334500,700500,56.19259,-3.05706,KY8 5,Other
1749,Baldersby,North Yorkshire,England,SE3578,435500,478500,54.20103,-1.45731,YO7 4,Other
1750,Baldersby St James,North Yorkshire,England,SE3676,436500,476500,54.18299,-1.44222,YO7 4,Other
1751,Balderstone,Lancashire,England,SD6332,363500,432500,53.78753,-2.55548,BB2 7,Other
1752,Balderstone,Greater Manchester,England,SD9011,390500,411500,53.59998,-2.14502,OL16 4,Other
1753,Balderton,Cheshire,England,SJ3762,337500,362500,53.15595,-2.93611,CH4 9,Other
1754,Balderton,Nottinghamshire,England,SK8151,481500,351500,53.05455,-0.78551,NG24 3,Other
1755,Baldhu,Cornwall,England,SW7742,177500,42500,50.24052,-5.12176,TR3 6,Other
1756,Baldingstone,Greater Manchester,England,SD8014,380500,414500,53.62666,-2.29632,BL9 5,Other
1757,Baldinnie,Fife,Scotland,NO4211,342500,711500,56.29244,-2.93056,KY15 5,Other
1758,Baldock,Hertfordshire,England,TL2433,524500,233500,51.98601,-0.18842,SG7 6,Town
1759,Baldon Row,Oxfordshire,England,SP5600,456500,200500,51.70041,-1.18385,OX44 9,Other
1760,Baldovie,Dundee City,Scotland,NO4533,345500,733500,56.49042,-2.88668,DD5 3,Other
1761,Baldslow,East Sussex,England,TQ7913,579500,113500,50.89309,0.55095,TN37 7,Other
1762,Baldwin's Gate,Staffordshire,England,SJ7939,379500,339500,52.95248,-2.30657,ST5 5,Other
1763,Baldwinholme,Cumbria,England,NY3351,333500,551500,54.85386,-3.03733,CA5 6,Other
1764,Baldwins Hill,West Sussex,England,TQ3839,538500,139500,51.13803,-0.02169,RH19 2,Other
1765,Bale,Norfolk,England,TG0136,601500,336500,52.88818,0.99362,NR21 0,Other
1766,Balemartine,Argyll and Bute,Scotland,NL9841,98500,741500,56.46883,-6.89741,PA77 6,Other
1767,Balemore,Na h-Eileanan an Iar,Scotland,NF7367,73500,867500,57.57907,-7.46478,HS6 5,Other
1768,Balephetrish,Argyll and Bute,Scotland,NM0046,100500,746500,56.51486,-6.87082,PA77 6,Other
1769,Balephuil,Argyll and Bute,Scotland,NL9540,95500,740500,56.45795,-6.94476,PA77 6,Other
1770,Balerno,City of Edinburgh,Scotland,NT1666,316500,666500,55.88438,-3.33643,EH14 7,Other
1771,Baleromindubh Glac Mhòr,Argyll and Bute,Scotland,NR3892,138500,692500,56.05369,-6.20156,PA61 7,Other
1772,Balevullin,Argyll and Bute,Scotland,NL9546,95500,746500,56.51165,-6.95176,PA77 6,Other
1773,Balfield,Angus,Scotland,NO5468,354500,768500,56.80578,-2.74672,DD9 7,Other
1774,Balfour,Orkney Islands,Scotland,HY4716,347500,1016500,59.03229,-2.91639,KW17 2,Other
1775,Balfron,Stirling,Scotland,NS5488,254500,688500,56.06714,-4.33874,G63 0,Other
1776,Balfron Station,Stirling,Scotland,NS5289,252500,689500,56.07550,-4.37139,G63 0,Other
1777,Balgaveny,Aberdeenshire,Scotland,NJ6540,365500,840500,57.45348,-2.57657,AB54 6,Other
1778,Balgonar,Fife,Scotland,NT0293,302500,693500,56.12424,-3.56995,KY12 9,Other
1779,Balgowan,Highland,Scotland,NN6394,263500,794500,57.02136,-4.25008,PH20 1,Other
1780,Balgown,Highland,Scotland,NG3438,134500,838500,57.35933,-6.41649,IV56 8,Other
1781,Balgown,Highland,Scotland,NG3868,138500,868500,57.63034,-6.38233,IV51 9,Other
1782,Balgrochan,East Dunbartonshire,Scotland,NS6278,262500,678500,55.97972,-4.20523,G66 7,Other
1783,Balgunearie,Highland,Scotland,NH6149,261500,849500,57.51443,-4.31376,IV1 3,Other
1784,Balgunloune,Highland,Scotland,NH6248,262500,848500,57.50576,-4.29652,IV1 3,Other
1785,Balhalgardy,Aberdeenshire,Scotland,NJ7623,376500,823500,57.30148,-2.39164,AB51 4,Other
1786,Balham,Wandsworth - Greater London,England,TQ2873,528500,173500,51.44592,-0.15232,SW12 8,Other
1787,Baligrundle,Argyll and Bute,Scotland,NM8340,183500,740500,56.50660,-5.51986,PA34 5,Other
1788,Balimore,Argyll and Bute,Scotland,NR7074,170500,674500,55.90871,-5.67353,PA31 8,Other
1789,Balinoe,Argyll and Bute,Scotland,NL9742,97500,742500,56.47714,-6.91474,PA77 6,Other
1790,Balintore,Highland,Scotland,NH8675,286500,875500,57.75480,-3.90892,IV20 1,Other
1791,Balintore,Angus,Scotland,NO2859,328500,759500,56.72167,-3.16990,DD8 5,Other
1792,Balintraid,Highland,Scotland,NH7370,273500,870500,57.70644,-4.12457,IV18 0,Other
1793,Balk Field,Nottinghamshire,England,SK7181,471500,381500,53.32560,-0.92797,DN22 6,Other
1794,Balkeerie,Angus,Scotland,NO3244,332500,744500,56.58754,-3.10062,DD8 1,Other
1795,Balkholme,East Riding of Yorkshire,England,SE7827,478500,427500,53.73799,-0.81138,DN14 7,Other
1796,Balkiellie,Angus,Scotland,NO7054,370500,754500,56.68131,-2.48311,DD10 9,Other
1797,Ball,Shropshire,England,SJ3026,330500,326500,52.83152,-3.03302,SY10 8,Other
1798,Ball,Cornwall,England,SX0073,200500,73500,50.52718,-4.81609,PL27 6,Other
1799,Ball Green,Staffordshire,England,SJ8952,389500,352500,53.06963,-2.15816,ST6 8,Other
1800,Ball Haye Green,Staffordshire,England,SJ9857,398500,357500,53.11468,-2.02386,ST13 8,Other
1801,Ball Hill,Hampshire,England,SU4263,442500,163500,51.36898,-1.39087,RG20 0,Other
1802,Ball o' Ditton,Cheshire,England,SJ4986,349500,386500,53.37293,-2.76050,WA8 7,Other
1803,Ball's Green,Gloucestershire,England,ST8699,386500,199500,51.69409,-2.19671,GL6 9,Other
1804,Ballachulish,Highland,Scotland,NN0858,208500,758500,56.67891,-5.12764,PH49 4,Other
1805,Balladen,Lancashire,England,SD8021,380500,421500,53.68958,-2.29676,BB4 6,Other
1806,Ballagh Cross Roads,Fermanagh,Northern Ireland,H435299,243540,329953,54.21667,-7.33333,BT92 6,Other
1807,Ballantrae,South Ayrshire,Scotland,NX0882,208500,582500,55.09984,-5.00304,KA26 0,Other
1808,Ballard's Ash,Wiltshire,England,SU0684,406500,184500,51.55935,-1.90763,SN4 8,Other
1809,Ballard's Green,Warwickshire,England,SP2791,427500,291500,52.52069,-1.59614,CV7 8,Other
1810,Ballards Gore,Essex,England,TQ9092,590500,192500,51.59912,0.74919,SS4 2,Other
1811,Ballater,Aberdeenshire,Scotland,NO3695,336500,795500,57.04618,-3.04822,AB35 5,Town
1812,Balleer,Armagh,Northern Ireland,H869361,286924,336134,54.26667,-6.66667,BT60 2,Other
1813,Balleigh,Highland,Scotland,NH7084,270500,884500,57.83124,-4.18245,IV19 1,Other
1814,Ballencrieff,East Lothian,Scotland,NT4878,348500,678500,55.99668,-2.82724,EH32 0,Other
1815,Ballencrieff Toll,West Lothian,Scotland,NS9770,297500,670500,55.91663,-3.64156,EH48 4,Other
